epoch	loss	acc	val_loss	val_acc
0	0.732155	0.560000	0.567712	0.756250
1	0.585073	0.685500	0.513965	0.793750
2	0.520151	0.745500	0.470432	0.823750
3	0.487917	0.774500	0.444436	0.822500
4	0.461968	0.789500	0.422723	0.855000
5	0.437289	0.812000	0.403476	0.840000
6	0.423211	0.811500	0.390630	0.841250
7	0.415560	0.811000	0.376173	0.863750
8	0.399669	0.833500	0.367194	0.865000
9	0.376319	0.844500	0.358755	0.858750
10	0.377454	0.838000	0.348976	0.868750
11	0.361836	0.854500	0.341855	0.868750
12	0.360018	0.850000	0.334714	0.875000
13	0.358219	0.852000	0.328972	0.881250
14	0.339267	0.864500	0.323472	0.880000
15	0.338806	0.865000	0.334045	0.858750
16	0.333241	0.875500	0.316028	0.878750
17	0.328139	0.863000	0.309775	0.887500
18	0.315247	0.875500	0.304920	0.892500
19	0.313220	0.871000	0.317103	0.862500
20	0.309825	0.880000	0.305461	0.877500
21	0.310134	0.874500	0.300857	0.881250
22	0.303939	0.873500	0.294467	0.886250
23	0.298045	0.885000	0.291120	0.887500
24	0.291400	0.892000	0.288051	0.901250
25	0.286304	0.886000	0.285462	0.890000
26	0.283147	0.890500	0.286717	0.886250
27	0.278343	0.890500	0.282533	0.887500
28	0.286483	0.888000	0.286839	0.887500
29	0.274898	0.885500	0.276271	0.895000
30	0.271926	0.893000	0.284030	0.887500
31	0.271752	0.894500	0.279706	0.886250
32	0.264468	0.895000	0.273245	0.903750
33	0.254590	0.902000	0.272118	0.890000
34	0.265687	0.904000	0.272090	0.890000
35	0.260796	0.903000	0.271573	0.892500
36	0.256981	0.902500	0.266184	0.893750
37	0.256588	0.907000	0.266341	0.891250
38	0.252266	0.904500	0.262261	0.898750
39	0.248229	0.900500	0.262761	0.893750
40	0.246304	0.903000	0.259251	0.898750
41	0.246047	0.898000	0.264824	0.891250
42	0.244632	0.908500	0.263581	0.890000
43	0.241892	0.906000	0.256911	0.897500
44	0.244050	0.903000	0.260234	0.891250
45	0.234004	0.913000	0.254900	0.900000
46	0.234862	0.907500	0.259469	0.891250
47	0.232156	0.909000	0.260194	0.892500
48	0.233078	0.908000	0.252900	0.895000
49	0.243173	0.908500	0.251823	0.903750
