epoch	loss	acc	val_loss	val_acc
0	0.148909	0.941484	0.163220	0.938750
1	0.049961	0.983320	0.172986	0.940898
2	0.023231	0.993416	0.191361	0.943945
3	0.012477	0.996740	0.205466	0.936211
4	0.009103	0.997669	0.210533	0.938672
5	0.005500	0.998598	0.230472	0.936250
6	0.004207	0.999165	0.232447	0.943867
7	0.003706	0.999197	0.233251	0.943516
8	0.002969	0.999417	0.226749	0.946250
9	0.002318	0.999449	0.227467	0.946133
10	0.002771	0.999307	0.264216	0.940000
11	0.001757	0.999780	0.248876	0.946133
12	0.001911	0.999559	0.262013	0.940000
13	0.001393	0.999748	0.251303	0.945117
14	0.001367	0.999685	0.280887	0.934570
15	0.001616	0.999732	0.241880	0.945000
16	0.000882	0.999858	0.262968	0.941328
17	0.000814	0.999858	0.262356	0.948438
18	0.001001	0.999795	0.289195	0.941445
19	0.000949	0.999843	0.267224	0.947617
20	0.000954	0.999795	0.331000	0.927500
21	0.000572	0.999890	0.262115	0.948438
22	0.000620	0.999921	0.260476	0.945273
23	0.000709	0.999843	0.274541	0.947344
24	0.000598	0.999921	0.272713	0.942695
25	0.000439	0.999968	0.274443	0.947500
26	0.000532	0.999921	0.286958	0.945156
27	0.000436	0.999969	0.271939	0.952695
28	0.000357	0.999968	0.299257	0.941289
29	0.000469	0.999921	0.303880	0.939922
30	0.000395	0.999890	0.282205	0.948750
31	0.000406	0.999921	0.288575	0.945000
32	0.000409	0.999905	0.287232	0.941250
33	0.000446	0.999937	0.314526	0.939063
34	0.000319	0.999953	0.285957	0.946367
35	0.000392	0.999937	0.288198	0.943750
36	0.000474	0.999921	0.307870	0.938398
37	0.000242	0.999984	0.306758	0.940195
38	0.000187	1.000000	0.311899	0.940117
39	0.000277	1.000000	0.289127	0.946094
40	0.000520	0.999874	0.296267	0.943750
41	0.000595	0.999858	0.328972	0.941250
42	0.000440	0.999937	0.304188	0.946328
43	0.000349	0.999937	0.310424	0.942734
44	0.000173	0.999984	0.308753	0.946211
45	0.000380	0.999921	0.319743	0.946250
46	0.000332	0.999968	0.308488	0.943555
47	0.000374	0.999906	0.316540	0.942461
48	0.000183	0.999984	0.354864	0.932578
49	0.001095	0.999701	0.297245	0.943633
