epoch	loss	acc	val_loss	val_acc
0	0.483156	0.755889	0.491923	0.781250
1	0.249220	0.894137	0.664721	0.791367
2	0.157482	0.936996	0.732693	0.807383
3	0.112789	0.957011	0.887414	0.797461
4	0.091980	0.964938	1.014539	0.808828
5	0.079138	0.969994	1.113620	0.808516
6	0.066478	0.974767	1.056464	0.825000
7	0.066397	0.975230	0.981947	0.816094
8	0.061470	0.978106	1.091963	0.816094
9	0.053668	0.980737	1.385466	0.825742
10	0.050633	0.980941	1.232930	0.804805
11	0.048491	0.982962	1.309772	0.799805
12	0.044071	0.984202	1.183164	0.830000
13	0.041746	0.985446	1.216405	0.808477
14	0.042057	0.985336	1.249659	0.820547
15	0.035450	0.987371	1.222934	0.813438
16	0.035860	0.987336	1.406107	0.812461
17	0.033511	0.987746	1.340391	0.810391
18	0.032984	0.988281	1.282966	0.813164
19	0.032865	0.988631	1.286009	0.816562
20	0.030241	0.989667	1.432360	0.821289
21	0.027266	0.990187	1.370058	0.826328
22	0.027920	0.990644	1.323310	0.817383
23	0.029182	0.989922	1.432309	0.816055
24	0.027277	0.990549	1.224677	0.810195
25	0.028014	0.990439	1.259750	0.821250
26	0.024015	0.991715	1.435024	0.813945
27	0.022789	0.992158	1.378219	0.823750
28	0.025208	0.991353	1.428781	0.813750
29	0.023540	0.991794	1.514396	0.815273
30	0.022082	0.992660	1.572749	0.820312
31	0.023568	0.992032	1.516850	0.813438
32	0.020994	0.993022	1.668158	0.824922
33	0.021664	0.992770	1.607189	0.828633
34	0.022020	0.993038	1.582831	0.803828
35	0.020910	0.993276	1.545778	0.826250
36	0.022968	0.992440	1.465426	0.819727
37	0.019071	0.994030	1.560461	0.818633
38	0.020808	0.993243	1.380086	0.811250
39	0.020277	0.993638	1.483608	0.820312
40	0.023235	0.992928	1.366511	0.825117
41	0.018217	0.993936	1.379785	0.827227
42	0.016439	0.994566	1.638081	0.812461
43	0.021813	0.993339	1.513081	0.827969
44	0.016993	0.994566	1.697184	0.823828
45	0.020882	0.993274	1.604624	0.822344
46	0.019127	0.993448	1.723808	0.807695
47	0.020200	0.993874	1.662308	0.811289
48	0.018910	0.994109	1.630944	0.815078
49	0.017304	0.994471	1.852769	0.802461
